country,avg_growth,avg_inflation,avg_pps,growth_score,prosperity_score,price_stability_score,risk_score,opportunity_score,growth_volatility,resilience_score,economic_score,economic_rank,opportunity_rank,risk_rank
Austria,0.5333333333333333,4.5,44180.43333333333,7.05,30.92,67.28,65.85,30.46,4.286101569802875,51.44,36.16,18,17,21
Belgium,1.5333333333333332,3.9166666666666665,42783.6,22.17,28.87,77.98,52.72,38.47,3.7254082550328182,62.59,45.11,9,8,14
Bulgaria,2.8333333333333335,5.283333333333333,23092.166666666668,41.81,0.0,52.91,53.2,29.95,3.5539649219803318,66.0,39.62,13,19,15
Croatia,3.766666666666666,5.033333333333333,27180.100000000002,55.92,5.99,57.49,43.37,38.84,6.873912035127208,0.0,29.77,25,7,7
Cyprus,4.7,2.7166666666666663,34980.5,70.03,17.43,100.0,16.49,59.11,5.0191632768819145,36.87,54.58,4,4,3
Czechia,0.9,6.3999999999999995,33647.78333333333,12.59,15.47,32.42,78.49,18.56,3.3322664959453645,70.41,31.73,21,23,25
Denmark,2.2666666666666666,2.8666666666666667,47787.78333333333,33.25,36.2,97.25,37.95,50.28,2.9493502109221734,78.02,57.98,3,5,4
Estonia,0.3333333333333333,6.816666666666666,29918.36666666667,4.03,10.01,24.77,86.64,11.31,4.14085337420521,54.33,22.25,26,26,26
Finland,0.2333333333333334,2.8000000000000003,38540.833333333336,2.52,22.65,98.47,54.3,33.55,1.8435473052424411,100.0,51.11,7,16,16
France,1.0166666666666668,2.9,36368.26666666667,14.36,19.46,96.64,48.62,36.71,4.667083314733803,43.87,39.47,14,13,10
Germany,0.06666666666666672,3.8499999999999996,43560.23333333333,0.0,30.01,79.2,64.36,30.3,2.6956755492207636,83.06,44.11,11,18,20
Greece,1.8833333333333335,3.116666666666667,24374.11666666667,27.46,1.88,92.66,43.2,34.81,6.0419919452666155,16.54,31.37,22,15,5
Hungary,1.25,8.166666666666666,27662.649999999998,17.88,6.7,0.0,90.16,9.5,3.999374951164244,57.14,21.33,27,27,27
Ireland,6.683333333333334,3.1,81299.93333333333,100.0,85.33,92.97,3.17,93.11,6.506125319010283,7.31,71.75,1,1,1
Italy,1.1666666666666667,3.1999999999999997,35371.96666666667,16.62,18.0,91.13,49.85,35.73,5.91596709479242,19.04,32.48,19,14,11
Latvia,1.0833333333333333,5.783333333333334,25533.899999999998,15.37,3.58,43.73,71.87,18.33,3.5113625085807745,66.85,30.96,24,24,23
Lithuania,2.5833333333333335,6.266666666666666,31824.56666666667,38.04,12.8,34.86,63.39,28.41,2.239121851679061,92.14,44.62,10,20,18
Luxembourg,1.0666666666666667,3.233333333333333,91303.83333333333,15.11,100.0,90.52,50.95,63.68,2.9248361777485363,78.5,67.26,2,3,12
Malta,5.533333333333334,3.0,39503.683333333334,82.62,24.06,94.8,11.9,65.17,5.9831986985781,17.71,54.19,5,2,2
Netherlands,1.5833333333333333,4.3,48464.43333333333,22.92,37.2,70.95,55.47,39.92,3.7145210548153664,62.81,46.07,8,6,17
Poland,2.8666666666666667,6.666666666666667,28842.95,42.32,8.43,27.52,64.34,26.76,3.2751590292177672,71.54,38.19,15,21,19
Portugal,1.9333333333333336,3.1833333333333336,28840.566666666666,28.21,8.43,91.44,43.34,37.09,5.3522580904387125,30.25,36.42,17,11,6
Romania,1.6833333333333333,6.783333333333332,27245.766666666666,24.43,6.09,25.38,75.14,18.25,3.2108669649592563,72.82,32.13,20,25,24
Slovakia,1.4000000000000001,5.883333333333333,26998.850000000002,20.15,5.73,41.9,70.06,20.54,2.698147512646409,83.01,36.61,16,22,22
Slovenia,2.0333333333333337,3.783333333333333,32865.96666666667,29.72,14.33,80.43,47.46,37.01,3.992826901665869,57.27,42.9,12,12,9
Spain,1.8333333333333333,3.3333333333333335,32419.11666666667,26.7,13.67,88.69,45.41,37.64,6.493586579592719,7.56,31.06,23,10,8
Sweden,1.3166666666666667,3.6666666666666665,41821.75,18.89,27.46,82.57,52.45,37.81,2.3760611664405165,89.41,51.4,6,9,13
