country,geo,year,gdp_growth_pct,gdp_per_capita_pps,inflation_pct
Austria,AT,2020,-6.3,37385.6,1.4
Austria,AT,2021,4.9,40185.6,2.8
Austria,AT,2022,5.3,44569.5,8.6
Austria,AT,2023,-0.8,46391.9,7.7
Austria,AT,2024,-0.7,47527.9,2.9
Austria,AT,2025,0.8,49022.1,3.6
Belgium,BE,2020,-4.8,35850.5,0.4
Belgium,BE,2021,6.3,38699.2,3.2
Belgium,BE,2022,4.0,42520.4,10.3
Belgium,BE,2023,1.6,45367.3,2.3
Belgium,BE,2024,1.1,46587.9,4.3
Belgium,BE,2025,1.0,47676.3,3.0
Bulgaria,BG,2020,-3.1,17473.0,1.2
Bulgaria,BG,2021,7.8,19748.1,2.8
Bulgaria,BG,2022,4.1,22421.2,13.0
Bulgaria,BG,2023,1.7,24254.4,8.6
Bulgaria,BG,2024,3.4,26324.3,2.6
Bulgaria,BG,2025,3.1,28332.0,3.5
Croatia,HR,2020,-8.3,20213.9,0.0
Croatia,HR,2021,12.6,23588.3,2.7
Croatia,HR,2022,7.3,26007.8,10.7
Croatia,HR,2023,3.8,29847.3,8.4
Croatia,HR,2024,3.8,31053.1,4.0
Croatia,HR,2025,3.4,32370.2,4.4
Cyprus,CY,2020,-3.2,27194.2,-1.1
Cyprus,CY,2021,11.4,30382.9,2.3
Cyprus,CY,2022,8.7,34492.5,8.1
Cyprus,CY,2023,3.6,37400.0,3.9
Cyprus,CY,2024,3.9,39456.4,2.3
Cyprus,CY,2025,3.8,40957.0,0.8
Czechia,CZ,2020,-5.3,29178.2,3.3
Czechia,CZ,2021,4.0,30502.4,3.3
Czechia,CZ,2022,2.8,32419.7,14.8
Czechia,CZ,2023,0.0,34973.9,12.0
Czechia,CZ,2024,1.3,36255.5,2.7
Czechia,CZ,2025,2.6,38557.0,2.3
Denmark,DK,2020,-1.8,40054.4,0.3
Denmark,DK,2021,6.5,44240.3,1.9
Denmark,DK,2022,0.4,48465.5,8.5
Denmark,DK,2023,1.1,48240.3,3.4
Denmark,DK,2024,3.9,51785.4,1.3
Denmark,DK,2025,3.5,53940.8,1.8
Estonia,EE,2020,-2.9,25994.6,-0.6
Estonia,EE,2021,8.3,28242.8,4.5
Estonia,EE,2022,-1.2,30029.2,19.4
Estonia,EE,2023,-2.7,30611.0,9.1
Estonia,EE,2024,-0.1,31555.4,3.7
Estonia,EE,2025,0.6,33077.2,4.8
Finland,FI,2020,-2.5,34039.9,0.4
Finland,FI,2021,2.7,36222.4,2.1
Finland,FI,2022,0.8,38350.4,7.2
Finland,FI,2023,-1.3,39690.3,4.3
Finland,FI,2024,0.9,40871.6,1.0
Finland,FI,2025,0.8,42070.4,1.8
France,FR,2020,-7.4,31555.5,0.5
France,FR,2021,6.9,33443.0,2.1
France,FR,2022,2.7,35145.8,5.9
France,FR,2023,1.6,38055.1,5.7
France,FR,2024,1.5,39294.2,2.3
France,FR,2025,0.8,40716.0,0.9
Germany,DE,2020,-4.1,37974.3,0.4
